SubjectID,StimID,CueText,FreeResponse,RT_ms,TrialIndex,alnum_len,svg_z_all_dec,svg_z_inter_dec,low_n_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,dec_total_correct,q1_accuracy,q2_accuracy,svg_z_inter_dec_z,svg_z_all_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z,alnum_len_centred,svg_z_inter_dec_centred,svg_z_all_dec_centred
Encode-Decode_Experiment-9-1,2386442,teeth,a{SPACE}man{SPACE}and{SPACE}a{SPACE}woman{SPACE}and{SPACE}a{SPACE}child{SPACE}are{SPACE}all{SPACE}brushing{SPACE}their{SPACE}teeth{.}{SPACE}the{SPACE}child{SPACE}is{SPACE}in{SPACE}the{SPACE}middle{SPACE}and{SPACE}has{SPACE}a{SPACE}pink{SPACE}toothbrush{.}{SPACE}it{SPACE}is{SPACE}night{SPACE}time{.}{SPACE}{ENTER},46753,10,246.0,,,False,15,1.0,0.096814,1.0,1.0,0.0,,,0.5772775870883508,0.3463476661518187,-0.6409671927356259,-98.9230769230769,,
Encode-Decode_Experiment-9-1,2350974,drink,a{SPACE}boy{SPACE}is{SPACE}leaning{SPACE}next{SPACE}to{SPACE}a{SPACE}red{SPACE}car{SPACE}drinking{SPACE}something{.}{SPACE}it{SPACE}is{SPACE}daytime{.}{SPACE}there{SPACE}is{SPACE}something{SPACE}next{SPACE}to{SPACE}him{SPACE}on{SPACE}the{SPACE}left{SPACE}side{SPACE}of{SPACE}the{SPACE}screen{.}{ENTER},38169,11,238.0,-0.509676,-0.43944,False,14,1.0,0.094919,2.0,1.0,1.0,-0.3289839270581709,-0.529647401862308,0.30383030899386876,0.3463476661518187,-0.6553903359972444,-106.9230769230769,-0.9341379166666668,-0.9374144117647059
Encode-Decode_Experiment-9-1,2409918,elephant,there{SPACE}are{SPACE}two{SPACE}elephants{SPACE}with{SPACE}two{SPACE}men{SPACE}on{SPACE}their{SPACE}backs{.}{SPACE}they{SPACE}are{SPACE}in{SPACE}what{SPACE}looks{SPACE}like{SPACE}a{SPACE}jungle{SPACE}and{SPACE}both{SPACE}elephants{SPACE}and{SPACE}men{SPACE}are{SPACE}in{SPACE}a{SPACE}lake{.}{SPACE}it{SPACE}is{SPACE}daytime{.}{SPACE}both{SPACE}men{SPACE}have{SPACE}dark{SPACE}hair{SPACE}and{SPACE}are{SPACE}not{SPACE}wearing{SPACE}shirts{ENTER},49888,12,355.0,-0.021238,0.015248,False,15,1.0,0.083155,1.0,0.0,1.0,-0.11041068309879568,-0.18167015620795285,0.5772775870883508,0.3463476661518187,-0.7449279915801895,10.076923076923094,-0.4794499166666668,-0.4489764117647059
Encode-Decode_Experiment-9-1,2362704,bears,there{SPACE}are{SPACE}two{SPACE}bears{-}both{SPACE}are{SPACE}brown{.}{SPACE}they{SPACE}are{SPACE}eating{SPACE}pumpkins{.}{SPACE}one{SPACE}is{SPACE}closer{SPACE}to{SPACE}the{SPACE}front{SPACE}than{SPACE}the{SPACE}other{.}{SPACE}the{SPACE}pumpkins{SPACE}have{SPACE}lots{SPACE}of{SPACE}seeds{SPACE}in{SPACE}them{.}{SPACE}it{SPACE}is{SPACE}daytime{ENTER},55846,14,275.0,,,False,8,0.875,0.151829,2.0,1.0,1.0,,,-1.3368533595730232,-1.4945345242516337,-0.22223936870504704,-69.9230769230769,,
Encode-Decode_Experiment-9-1,2345035,football,there{SPACE}are{SPACE}two{SPACE}girls{.}{SPACE}one{SPACE}girl{SPACE}has{SPACE}the{SPACE}number{SPACE}9{SPACE}on{SPACE}the{SPACE}back{SPACE}of{SPACE}her{SPACE}shirt{.}{SPACE}one{SPACE}shirt{SPACE}is{SPACE}blue{SPACE}and{SPACE}one{SPACE}shirt{SPACE}is{SPACE}white{.}{SPACE}the{SPACE}girl{SPACE}with{SPACE}the{SPACE}number{SPACE}9{SPACE}is{SPACE}on{SPACE}the{SPACE}right{SPACE}side{SPACE}of{SPACE}the{SPACE}photo{.}{SPACE}one{SPACE}of{SPACE}the{SPACE}girls{SPACE}has{SPACE}blone{SPACE}hair{.}{SPACE}they{SPACE}are{SPACE}both{SPACE}chasing{SPACE}a{SPACE}football{.}{SPACE}in{SPACE}the{SPACE}background{SPACE}is{SPACE}grass{SPACE}and{SPACE}a{SPACE}football{SPACE}goal{ENTER},64651,15,529.0,0.20288,0.134996,False,14,1.0,0.186172,2.0,1.0,1.0,-0.05284657580401934,-0.02200206252653829,0.30383030899386876,0.3463476661518187,0.039150609676888326,184.0769230769231,-0.3597019166666668,-0.2248584117647059
Encode-Decode_Experiment-9-1,2397102,cake,a{SPACE}couple{SPACE}who{SPACE}seem{SPACE}to{SPACE}be{SPACE}just{SPACE}married{SPACE}are{SPACE}both{SPACE}holding{SPACE}a{SPACE}knife{SPACE}through{SPACE}a{SPACE}cake{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}in{SPACE}white{SPACE}and{SPACE}the{SPACE}man{SPACE}is{SPACE}in{SPACE}a{SPACE}suit{.}{SPACE}it{SPACE}is{SPACE}nighttime{.}{SPACE}the{SPACE}woman{SPACE}has{SPACE}light{SPACE}hair{SPACE}and{SPACE}the{SPACE}man{SPACE}has{SPACE}dark{SPACE}hair{.}{SPACE}the{SPACE}cake{SPACE}is{SPACE}a{SPACE}light{SPACE}yellow{SPACE}colour{SPACE}with{SPACE}coloured{SPACE}writing{SPACE}on{SPACE}it{SPACE}{ENTER},74663,16,474.0,,,False,20,1.0,0.075892,1.0,1.0,0.0,,,1.9445139775607607,0.3463476661518187,-0.8002078277327679,129.0769230769231,,
Encode-Decode_Experiment-9-1,2408717,surfboard,there{SPACE}are{SPACE}4{SPACE}people{SPACE}walking{SPACE}towards{SPACE}the{SPACE}ocean{.}{SPACE}the{SPACE}2{SPACE}people{SPACE}on{SPACE}the{SPACE}right{SPACE}side{SPACE}of{SPACE}the{SPACE}photo{SPACE}have{SPACE}green{SPACE}surfboards{SPACE}and{SPACE}the{SPACE}people{SPACE}on{SPACE}the{SPACE}left{SPACE}side{SPACE}have{SPACE}white{SPACE}surfboards{SPACE}with{SPACE}brown{SPACE}patterns{SPACE}on{SPACE}them{.}{SPACE}it{SPACE}is{SPACE}daytime{ENTER},57115,17,363.0,,,False,8,1.0,0.100927,1.0,1.0,0.0,,,-1.3368533595730232,0.3463476661518187,-0.6096625023741286,18.076923076923094,,
Encode-Decode_Experiment-9-1,2348899,tie,"there{SPACE}are{SPACE}4{SPACE}people{SPACE}in{SPACE}the{SPACE}photo{.}{SPACE}2{SPACE}men{SPACE}are{SPACE}on{SPACE}the{SPACE}left{,}{SPACE}1{SPACE}man{SPACE}is{SPACE}in{SPACE}the{SPACE}middle{SPACE}and{SPACE}a{SPACE}woman{SPACE}is{SPACE}on{SPACE}the{SPACE}right{.}{SPACE}the{SPACE}woman{SPACE}is{SPACE}touching{SPACE}a{SPACE}pink{SPACE}and{SPACE}white{SPACE}striped{SPACE}tie{SPACE}that{SPACE}is{SPACE}around{SPACE}the{SPACE}neck{SPACE}of{SPACE}the{SPACE}man{SPACE}in{SPACE}the{SPACE}middle{.}{SPACE}the{SPACE}tie{SPACE}is{SPACE}undone{.}{SPACE}they{SPACE}are{SPACE}at{SPACE}a{SPACE}party{SPACE}and{SPACE}its{SPACE}night{SPACE}time{ENTER}",81253,18,502.0,,,False,9,1.0,0.201179,2.0,1.0,1.0,,,-1.063406081478541,0.3463476661518187,0.15337124868855592,157.0769230769231,,
Encode-Decode_Experiment-9-1,2360001,clock,there{SPACE}are{SPACE}a{SPACE}group{SPACE}of{SPACE}men{SPACE}lifting{SPACE}a{SPACE}clock{SPACE}upwards{.}{SPACE}the{SPACE}clock{SPACE}is{SPACE}very{SPACE}large{.}{SPACE}the{SPACE}photo{SPACE}is{SPACE}in{SPACE}black{SPACE}and{SPACE}white{.}{SPACE}they{SPACE}are{SPACE}on{SPACE}a{SPACE}busy{SPACE}street{SPACE}with{SPACE}a{SPACE}white{SPACE}buildings{SPACE}on{SPACE}it{.}{SPACE}the{SPACE}photo{SPACE}seems{SPACE}to{SPACE}be{SPACE}from{SPACE}the{SPACE}early{SPACE}1900s{ENTER},73281,19,375.0,6.142525,8.523917,False,20,1.0,0.152721,2.0,1.0,1.0,3.979794875672436,4.209571458093606,1.9445139775607607,0.3463476661518187,-0.21545021630960437,30.076923076923094,8.029219083333334,5.714786588235294
Encode-Decode_Experiment-9-1,2347025,umbrella,there{SPACE}is{SPACE}a{SPACE}child{SPACE}on{SPACE}the{SPACE}back{SPACE}of{SPACE}a{SPACE}woman{.}{SPACE}the{SPACE}child{SPACE}is{SPACE}carrying{SPACE}the{SPACE}umberella{SPACE}over{SPACE}them{SPACE}both{.}{SPACE}one{SPACE}of{SPACE}the{SPACE}people{SPACE}has{SPACE}a{SPACE}fringe{SPACE}and{SPACE}they{SPACE}both{SPACE}have{SPACE}dark{SPACE}hair{.}{SPACE}{ENTER},47456,21,284.0,,,False,12,1.0,0.074993,1.0,0.0,1.0,,,-0.2430642471950952,0.3463476661518187,-0.8070502582299683,-60.923076923076906,,
