svg_z_enc_within_resid,prop_total_resid,prop_relations_resid,prop_objects_resid
-1.3317376640698286,0.04806612756404194,-0.06830959460313846,0.13881486193259152
1.4887734358104285,-0.12297284432773942,0.024450251048565685,-0.15791157115979987
-0.32990971795665364,0.08661138995646611,0.24935333474166943,0.06430512993190596
1.1171909514906833,-0.016567831074538963,0.08501665609060816,-0.0798187255111793
-0.9882051033592226,0.021618021497280426,-0.28679878748573323,0.18202439287739558
-0.36310210770133505,0.030981350486658954,0.10146334893136921,0.04857748819643015
-0.47429029928235406,-0.0603690812746549,0.05708560495837145,-0.14764341920295637
0.4701407256849057,-0.09909598263833452,-0.16937085814887431,-0.05928673745707247
-1.6341083005930113,-0.3916697134840579,-0.4253134029413654,-0.38230349004746844
-2.878835968304423,-0.02143586132337605,-0.39285442036052165,0.18823423973044262
1.567210198579954,0.16366799921647301,0.4303969278095845,0.1539132302999342
-1.0573075752960956,-0.10188813101643596,0.009986333141491555,-0.17278630190514221
1.1939738081910465,0.42394085198142417,0.45308016270274554,0.4357115888774761
0.635562847167269,0.5067695045183315,0.6471397792637714,0.45849238327655306
1.3250668195003672,0.17056371407721033,-0.03290114848833914,0.13935909416760223
0.5798725114787633,-0.4847433610173536,-0.4187478618999945,-0.46994623615434294
1.1709635296173109,0.20320152596489172,0.028495612096637868,0.09774071534316092
-0.5318674296040935,0.1009904641834728,0.4027376348585241,-0.05753098946533436
0.5010121964074483,0.12162629870775732,-0.17808157797902224,0.2853877375370465
-0.9212652383198525,-0.4690768484438868,-0.3619341107413947,-0.4803095893666672
0.8448141626424166,0.011708968529361763,-0.02310880591383696,0.0803705836743086
-0.6482255476214859,0.18116959460219456,0.12000208838098886,0.13620214034809724
-0.5616462284140984,-0.07965595909317458,-0.11309988106551405,-0.09471033697695475
1.1573403748896742,0.1901680843536533,-0.08956607898141672,0.3922053636260354
-1.0495581933488127,-0.06717221382342675,-0.2460350812966401,-0.0683070077422086
