svg_z_enc_within_z,pred_relations_pct,ci_lower_rel_pct,ci_upper_rel_pct,pred_objects_pct,ci_lower_obj_pct,ci_upper_obj_pct
-1.3949579831932772,42.85197542344255,39.670395355863285,46.033555491021815,53.31398922650814,50.13240915892887,56.49556929408741
-1.361344537815126,42.92844891248772,39.797914263971606,46.05898356100383,53.3763890413258,50.24585439280968,56.50692368984191
-1.327731092436975,43.00492240153288,39.925012189303324,46.08483261376243,53.43878885614345,50.3588786439139,56.518699068373
-1.2941176470588236,43.081395890578044,40.05166802888391,46.111123752272185,53.5011886709611,50.471460809266965,56.530916532655226
-1.2605042016806722,43.157869379623214,40.177859448910006,46.13787931033643,53.56358848577876,50.58357855506554,56.54359841649197
-1.226890756302521,43.23434286866838,40.30356281396164,46.165122923375115,53.625988300596404,50.69520824588967,56.55676835530314
-1.1932773109243697,43.31081635771354,40.42875311384152,46.19287960158557,53.688388115414064,50.80632487154204,56.57045135928609
-1.1596638655462184,43.38728984675871,40.553403888399906,46.22117580511752,53.750787930231716,50.91690197187291,56.58467388859052
-1.1260504201680672,43.463763335803876,40.677487150824696,46.250039520783055,53.813187745049376,51.02691156007019,56.59946393002856
-1.092436974789916,43.54023682484904,40.80097331001976,46.27950033967832,53.87558755986702,51.13632404503774,56.614851074696304
-1.0588235294117647,43.6167103138942,40.92383109286303,46.30958953492537,53.93798737468468,51.24510815365352,56.630866595715844
-1.0252100840336134,43.69318380293937,41.04602746733284,46.340340138545905,54.000387189502334,51.3532308538958,56.64754352510886
-0.9915966386554622,43.76965729198454,41.16752756771713,46.37178701625195,54.062787004319986,51.46065728005258,56.6649167285874
-0.9579831932773111,43.8461307810297,41.28829462337926,46.40396693868015,54.12518681913764,51.5673506614872,56.68302297678808
-0.9243697478991597,43.922604270074864,41.4082898928448,46.43691864730493,54.1875866339553,51.673272256725234,56.70190101118536
-0.8907563025210083,43.999077759120034,41.527472605297625,46.470682912942436,54.249986448772944,51.77838129495055,56.721591602595346
-0.8571428571428572,44.0755512481652,41.64579991192708,46.50530258440331,54.312386263590604,51.88263492735249,56.74213759982872
-0.8235294117647058,44.15202473721036,41.76322684994694,46.54082262447378,54.374786078408256,51.98598819114483,56.763583965671685
-0.7899159663865547,44.228498226255525,41.87970632250345,46.5772901300076,54.4371858932259,52.088393989473836,56.785977796977974
-0.7563025210084033,44.304971715300695,41.9951890980914,46.61475433250999,54.49958570804356,52.189803090834275,56.80936832525285
-0.7226890756302522,44.38144520434586,42.1096238334879,46.653266575203816,54.561985522861214,52.29016415200325,56.83380689371917
-0.6890756302521008,44.45791869339102,42.22295712457033,46.69288026221172,54.62438533767887,52.38942376885818,56.85934690649957
-0.6554621848739497,44.534392182436186,42.335133589678655,46.73365077519372,54.68678515249652,52.48752655973898,56.88604374525406
-0.6218487394957983,44.610865671481356,42.44609599037806,46.775635352584644,54.74918496731418,52.5844152862109,56.913954648417466
-0.5882352941176472,44.68733916052652,42.55578539453232,46.81889292652071,54.81158478213183,52.68003101613763,56.94313854812603
-0.5546218487394958,44.76381264957168,42.66414138646456,46.8634839126788,54.87398459694949,52.77431333384237,56.9736558600566
-0.5210084033613447,44.84028613861685,42.771102328607334,46.90946994862636,54.936384411767136,52.867200601757624,57.00556822177665
-0.4873949579831933,44.91675962766202,42.876605678376094,46.95691357694794,54.998784226584796,52.95863027729888,57.03893817587071
-0.4537815126050422,44.99323311670718,42.980588362990765,47.005877870423596,55.06118404140244,53.048539287686026,57.073828795118864
-0.4201680672268908,45.069706605752344,43.082987213580594,47.0564259979241,55.1235838562201,53.13686446404835,57.11030324839186
-0.38655462184873945,45.14618009479751,43.1837394581172,47.10862073147782,55.185983671037754,53.22354303435745,57.14842430771806
-0.3529411764705883,45.22265358384268,43.28278327053538,47.162523897149974,55.24838348585541,53.308513172548125,57.1882537991627
-0.31932773109243695,45.29912707288784,43.38005837086035,47.21819577491534,55.31078330067306,53.39171459864557,57.229852002700554
-0.2857142857142858,45.375600561933005,43.475506668346206,47.2756944555198,55.37318311549072,53.473089221903926,57.27327700907752
-0.25210084033613445,45.452074050978176,43.56907293667048,47.335075165285865,55.43558293030837,53.552581816000675,57.31858404461606
-0.2184873949579833,45.52854754002334,43.66070550729787,47.39638957274881,55.497982745126016,53.630140712400554,57.36582477785148
-0.18487394957983194,45.6050210290685,43.750356964435284,47.45968509370172,55.560382559943676,53.70571849531045,57.4150466245769
-0.1512605042016808,45.68149451811367,43.83798482278753,47.5250042134398,55.62278237476133,53.77927267943519,57.46629207008746
-0.11764705882352944,45.75796800715884,43.923552167831524,47.59238384648614,55.68518218957899,53.850766350251675,57.519598028906294
-0.0840336134453783,45.834441496204,44.007028237774975,47.66185475463302,55.747582004396634,53.920168745967615,57.57499526282566
-0.050420168067226934,45.910914985249164,44.08838892692153,47.733441043576796,55.80998181921429,53.98745576088666,57.632507877541926
-0.016806722689075793,45.98738847429433,44.16761719191344,47.80715975667521,55.87238163403194,54.05261035165106,57.69215291641282
