svg_z_dec_within_resid,prop_total_resid,prop_relations_resid,prop_objects_resid
-1.678119390982787,0.03656408031326902,0.20246715483040922,-0.027702595563538934
-0.6680078529557906,-0.07364042211199529,0.09582303962217503,-0.10830002956692708
,,,
,,,
0.11877116851662028,-0.3263617034640251,-0.2011311537858721,-0.37783837649361984
0.8951437355383332,0.14163182828966014,-0.07235424640125643,0.16357835039363622
-0.48147728150347696,-0.06536145547612981,0.18391773866909822,-0.10683003211773179
-0.08922008012200501,-0.48793241899170414,-0.39199986602047976,-0.500728155771304
-0.5487347989318898,-0.4793666265495993,-0.39234757950422344,-0.48810326897133366
,,,
-0.8401382479708659,-0.06246285973369764,-0.17608727028948123,0.0007901336819962079
-0.7197491769435893,0.08759287412857547,0.3454362082459077,0.008719575361642973
-0.6685380808841732,0.07489544693929956,0.36764189431279487,-0.03945035632287175
,,,
0.9964511957470195,-0.4631508167670926,-0.41424226670829195,-0.47405684721611546
0.03855102279471673,0.33367114287444966,0.17448090228117374,0.5126199191721315
,,,
2.2480431668899903,-0.08641157451727932,-0.12272079460402469,-0.09747986421230992
0.8087977427342911,-0.0986843799498866,-0.14515772952750883,0.016284478069267583
1.0777660306132848,0.023557856437691815,-0.022330075224048118,0.09707575296377696
0.520649572380325,0.05846459797288395,0.12926801138911082,0.11789177205774992
,0.07903594417140147,0.25387948111558534,0.020144348950032587
,,,
-0.7724503421587257,0.256545697695988,0.2834652351903987,0.13642550801426168
,,,
,-0.19647829499942715,-0.39533858972268393,-0.1693137959252849
0.25180076977841803,-0.1645596443240459,-0.219053225320125,-0.11904702797512179
,,,
,,,
,,,
,,,
,,,
,,,
,-0.03300830051680392,-0.0522209126522899,0.013899194878356336
,-0.7354805016812711,-0.6626167868134047,-0.7301944872124312
0.28787126699557386,0.2705722884284478,0.08267164014448103,0.27489535846547464
,,,
-1.0874254302447575,0.05057854547003349,0.16055202750692366,-0.1260918412649975
,,,
0.5840177675863268,0.04994045471048947,0.3397720628425055,-0.04985073549088237
-0.29815649434172725,0.016130761621505507,0.19578578394756618,-0.0022628566292872687
1.1742937330201948,0.007172430091209492,0.05722078285894949,-0.13623287805892503
-0.29110471176210606,-0.10754479257735217,-0.1058391003846404,0.028240242429910634
1.9257116783763792,0.3025412962743911,0.309415975222725,0.30502983759112323
,0.1382282842236795,0.13500233489220836,0.08793979686924569
,,,
1.4909279873403483,0.29178403437484923,0.33904254945259893,0.3017633040011857
-1.5417151653395598,-0.1010778607334899,-0.1688854034220193,-0.056844787832882715
0.2521601856477612,0.27715039194813973,0.014901606604588835,0.2846717843211055
-0.15246119615294978,0.09799496180186751,0.3671402016627522,-0.0101650608918612
,,,
-0.955370097261903,-0.27022781273408486,-0.27468150778417055,-0.2131701745124328
0.024205710746116493,0.21182982486966884,-0.1330761477045277,0.29664195089789214
-1.233735946188196,0.08716639911822477,0.01727334318398266,0.047179898581464985
0.5739551638952866,0.2825937660430049,0.32097042416022425,0.2844802705248455
1.3679836072721194,0.14830308117934576,0.09285956697545739,0.28539433385263524
,,,
-0.5163454543697892,-0.7078381789349942,-0.6473586439632324,-0.6950241019512162
0.3272700400130393,-0.2819333748175927,-0.5307345472319813,-0.1614963876097747
-1.9320826452321125,-0.027883998676143995,0.09058383784893231,-0.014903466080259387
,,,
0.500424802211822,0.13868647032192416,-0.024837233464195807,0.1481643952213887
-0.9405592850170281,0.023148831666560676,-0.37802394893640767,0.18586214905732246
0.2281037391067179,-0.03232493908005096,0.04970778953069155,-0.06220636798230261
0.120552800388152,-0.038448809655534544,-0.043165981656046126,-0.044609257571329275
-0.23968084976429355,0.0978928692833716,-0.06862745418150079,0.14584744161441043
-0.7817822657813233,0.12067754886572601,-0.0817028619061187,0.22374708932331167
-0.7612646587523267,0.008570706071082124,0.03723056520618556,0.01740835125129181
-0.6355373983464097,-0.07850177407733921,0.0594220450716334,0.018463259315675495
-0.7748071759891012,0.31607639746649097,0.6174439585647997,0.08020759794522203
0.43252850855236635,0.04188386002527045,-0.20274027429373775,0.04752945560453126
,,,
1.2335570909944584,-0.5394107444887288,-0.3715241587634046,-0.5411192227145963
0.6523713567858518,0.12783446521048702,0.3338546024747465,-0.04628366067812595
0.9660933356111259,-0.06711301137695586,0.04813034886299539,-0.086470601036224
,-0.11897187023226713,0.02483260349038413,-0.08654062935054141
,,,
,,,
,0.004137477568108228,-0.18963132360084073,0.1155702707418641
1.9252810962096403,0.06232429462278122,0.39158568609946864,-0.028271638030955448
,,,
,,,
0.8924546148272692,0.09696043348761363,0.06928522056421238,0.08964322702521155
-0.046456431864069225,-0.009657297015913335,0.22665526577370743,-0.02977260487272937
-0.365517890315286,0.13127265858488746,-0.18730946780246088,0.17583961960562844
,,,
-0.8741763548218386,0.1674145509649,0.07693833671205907,0.12453623914109058
0.45584649385217835,0.1639078467617734,0.06055612283537015,0.09667525746723571
-0.31528730565999563,-0.11675119437793724,0.10905969594740272,-0.19179125297124555
,,,
,,,
1.0412196477509514,0.19117750385528054,-0.27773728661560926,0.3192977804229573
-0.00652113401496951,-0.598713100694449,-0.5273955934342183,-0.591048414328391
-0.8164160584102502,-0.5923605657619699,-0.5194611903377583,-0.5831113140640768
0.015134378031044449,0.12945537793002226,-0.05124054744275153,0.08289667590662841
-1.5858510252585662,-0.027168786669825473,-0.048595095769441876,0.04222333035257009
,,,
0.9748262137854347,0.2032106635684381,0.469845999213231,-0.02976726738672908
0.9666548363137257,0.15240785509418475,0.1373323513029493,0.2063819259763391
,-0.00015093756774631206,-0.011709582768026028,0.0015083877602859452
-1.071264262538305,0.1216453567306065,0.4430594559202693,0.07677177562508242
-0.3200753370756455,0.1343957222081149,-0.043042255647024574,0.21114345049484085
-0.31570644635634804,0.07240034921298855,0.06606555958517124,0.09752969660601041
,,,
-0.965709626638448,-0.17904793690945886,-0.24382643318225639,-0.1353142969506092
,,,
0.4115645921834573,-0.10686027159239708,0.04956508264654391,-0.05094084852101077
-0.44326191511947083,-0.20998490173205736,-0.3066169127047462,-0.11081497236225829
,,,
0.13980554669224401,-0.1193353908765481,-0.11443981869166908,-0.10970053566360216
-0.4394541637050041,0.013650528745939416,0.2072630739509429,-0.0575825789026973
-1.8203125507975277,-0.05702356909770745,0.039507347354504896,-0.07535088537975482
-0.2776032238629489,-0.07573147976692018,-0.061152963319862086,0.04310752472273782
2.187210224894719,0.10245106881693017,0.18932539110662266,0.10374347434861952
-0.9783282309263088,0.00015508770788702497,0.2621047846937187,-0.024358288529525984
0.22747759802489587,0.2052968181963543,0.36259875163943023,0.07794805179316999
,0.0006296983868190331,0.09171395714856617,-0.09047049896612258
-1.045699241011281,0.0883743046579265,-0.13941820696638912,0.0617704999232459
-0.46632851889277155,-0.06716138346935313,-0.3392375363460666,0.015333840993908499
-1.196435907191624,0.09180645527851389,-0.07352922610504875,0.29395678863234853
1.1798153571143337,0.30131390610459313,0.020112391888012005,0.30670546147391375
,,,
0.3316971077093701,0.06006983655447984,-0.16877184934660797,0.1111032003205118
-1.559230788732067,-0.05999585183215461,-0.098259650062408,-0.07487238527438517
0.5833546110408161,0.10238083377242285,0.44063156608392684,0.0010340754408284525
0.4116980689210482,-0.3261141059624947,-0.3133619230658963,-0.371698899756184
,,,
1.603652696721354,0.08440565258845789,0.2881911752505417,0.006148358720673264
,-0.016231062329970458,-0.2762552694113435,0.05232835321759993
1.521455117544134,0.00816460703467542,0.026218603522803918,0.032936919493371575
-0.28038442179945045,-0.1493909343360822,-0.03867401859338343,-0.1328590312548394
,,,
0.32087263337555405,0.022269881558312943,0.0020503319743683246,-0.05840847299153051
,,,
0.74934777076029,0.13008113650933062,0.20109866591087022,0.04169565763226146
-1.1594907294438053,-0.011975623984622485,-0.2521904751900642,0.06552306022803
0.5132217684702188,-0.1214616482268478,-0.19130488700442416,-0.000712534526887687
,,,
-1.1986376079389764,-0.053518751281227184,0.08399180531694395,-0.12301297445001985
-0.2098997484385814,-0.1987841828972069,-0.2924515459269834,-0.11673758939430756
0.27974077125393504,-0.049288821449602005,-0.17917024853840707,0.06253257676127622
1.5324260569292325,0.02723949598704134,0.1517362025705571,0.011370123515504038
-0.23949888886616488,0.2451960473401269,0.29282183352755364,0.12489324330299778
0.12437966350479643,-0.00025708480730801675,0.27377925305119827,-0.047576456782918664
-1.1298200538302683,0.03970316594383172,0.03568248063109414,0.08677988002447268
1.3535356801063656,-0.20561564291819923,-0.31851261827081023,-0.0846261901611165
-0.05076772668530158,-0.0030362081956689657,0.2861715148524665,-0.06944899275269534
,,,
0.7409022619135351,0.20075221344936944,0.12289040936982198,0.0693384500236055
,-0.07408603519907309,-0.11630443857296296,-0.11671398032429237
1.6286112018414782,0.0784082554441421,0.09752901203011255,0.03533292438213975
,,,
,,,
,0.16173060612575307,-0.1974142400483665,0.26264563202405045
,-0.08904648633190493,-0.0213181751886371,-0.02510073673199531
-2.934050419576726,-0.07604043550794592,0.02296545148003115,-0.1761820927701182
,0.023862973710984725,0.13199035986658542,-0.022670832513110972
1.050661409587272,-0.11328264821216166,-0.1292605894320406,-0.012374473885092052
0.24259471059830967,0.061315269625976776,-0.05023276232999896,0.00850169585863536
,,,
-0.543471114734006,-0.005718557712922734,0.1090429629918897,-0.0547660203520875
,,,
1.0956913587262085,0.15114729962139012,0.17866692110735027,0.05630886777933253
-1.152139479095818,0.13358185168274794,0.32383883084405846,0.05451107707494218
0.17991241016154924,-0.04478752064504482,0.014834766092413465,0.0024651137821083413
,,,
0.68229450179922,0.08552620089648372,0.0005878132227304933,0.1883532555735712
,0.027587192884997058,0.12555433526575716,-0.02419035215824361
,-0.13654431890282026,-0.35769824561751234,-0.02596535282457635
0.31793147270201366,0.10362756747158042,-0.07238928713044501,0.17094500990941836
0.9454107885266664,-0.016868532922341972,-0.14201431265897907,0.03596879193082836
,,,
,-0.23680058817409122,-0.3857464158816099,-0.13939636744096506
0.08745974600445233,0.0441771713753869,0.11325164286893208,0.03603321094456785
-2.0702403297584078,-0.07336952365148491,0.020255932032035462,-0.17563852074716635
-0.8361054745174529,-0.0034538370486646985,0.1193180487588481,-0.0980851029321515
,,,
1.0412517491768418,-0.15520630817453684,0.16180179007897,-0.2733683208729588
-0.5965033609183414,0.17561949022429435,-0.04016648393205169,0.20533742114675202
0.4360610396849861,-0.1884493209851279,-0.19066861210720193,-0.06831479805482676
-0.9764037087921194,-0.29220687703113013,-0.10283532930091821,-0.235443869115452
,,,
-0.7726235665752016,0.029675982374879784,0.18499891425366544,-0.08524431278187894
,,,
1.161951735205621,0.16907446375510293,0.056060929120512415,0.1220125749108546
,,,
-0.6549547027708558,-0.01681946624465691,-0.11107492755251391,0.10198783115058285
0.4887495559533988,-0.05049136289106937,-0.18509062782112295,-0.03672951196034113
0.5849062541727017,0.2520709004750389,0.3084360439952971,0.21389159766429466
0.7504102644099984,0.02663687480355692,-0.10702101029594524,0.03409719761519592
,,,
,0.18473698695479435,0.22929762761297112,0.15665421540033853
-0.18429524581780277,-0.011940094080735153,0.22021730710708065,-0.09568415569293542
-1.0785139843239366,0.1222527499244822,0.06420673181882164,0.061013603967519314
-0.2423905384652233,-0.1679580328969218,-0.035349388580831254,-0.06783871579008904
,,,
,,,
-0.3511240952375525,-0.0963000800591326,-0.43491092622394073,-0.08769261027640973
,,,
0.39347860429748166,0.019304093851177706,-0.017902038172781465,0.05532185268936407
0.3765829180559682,0.11006719263502918,0.3147206330496364,-0.03495343805255846
,0.09065654905829068,-0.15844894640075746,0.17665828388064475
1.2224397557005506,0.06375367796855869,0.028123608415591694,0.09154302790834179
-0.3090967803782474,0.016368811021481355,-0.2743516292502074,0.16866423770206473
1.3310648967190486,0.1557750882027047,0.12058126846629236,0.16377220450022922
,,,
,,,
,-0.07682808910613614,0.15222826884797647,-0.13308641434194624
,,,
,,,
