phase,svg_z
Encoding,1.552628
Encoding,1.878796
Encoding,2.317674
Encoding,0.00145
Encoding,1.59541
Encoding,1.758887
Encoding,-0.215326
Encoding,1.059924
Encoding,1.978841
Encoding,1.534609
Encoding,2.391907
Encoding,2.899123
Encoding,-0.393241
Encoding,1.166373
Encoding,0.736856
Encoding,3.279277
Encoding,2.26658
Encoding,0.216151
Encoding,1.444636
Encoding,1.119936
Encoding,1.381418
Encoding,0.349444
Encoding,3.105162
Encoding,-1.128279
Encoding,3.57868
Encoding,1.839034
Encoding,2.072886
Encoding,1.877402
Encoding,0.498843
Encoding,-1.081075
Encoding,-1.443282
Encoding,0.164515
Encoding,-0.365438
Encoding,3.627187
Encoding,4.318453
Encoding,1.582836
Encoding,1.626985
Encoding,0.862708
Encoding,-2.704414
Encoding,0.358325
Encoding,3.495624
Encoding,3.868398
Encoding,-0.932934
Encoding,0.428775
Encoding,2.286533
Encoding,0.942902
Encoding,-0.063127
Encoding,2.272976
Encoding,1.163703
Encoding,2.266893
Encoding,0.221811
Encoding,-1.261587
Encoding,3.480106
Encoding,-0.167408
Encoding,1.294669
Encoding,-0.958025
Encoding,2.222007
Encoding,1.760613
Encoding,2.310167
Encoding,2.558547
Encoding,-1.096386
Encoding,1.906393
Encoding,0.991322
Encoding,-0.064716
Encoding,1.081479
Encoding,5.522816
Encoding,3.054412
Encoding,0.880077
Encoding,2.72293
Encoding,2.777198
Encoding,-0.564194
Encoding,0.197291
Encoding,0.680193
Encoding,3.614014
Encoding,1.441032
Encoding,-0.04067
Encoding,2.240587
Encoding,3.786058
Encoding,-0.177481
Encoding,1.340763
Encoding,1.314491
Encoding,0.377763
Encoding,0.395336
Encoding,0.22396
Encoding,1.34587
Encoding,1.20033
Encoding,0.716094
Encoding,1.576004
Encoding,4.301377
Encoding,3.770713
Encoding,2.414235
Encoding,0.9707
Encoding,3.531989
Encoding,3.061704
Encoding,1.767239
Encoding,0.42655
Encoding,2.223081
Encoding,1.231192
Encoding,2.174573
Encoding,0.781939
Encoding,-0.821669
Encoding,-1.302329
Encoding,-0.108096
Encoding,0.094561
Encoding,1.270381
Encoding,1.820358
Encoding,4.860642
Encoding,2.858102
Encoding,0.93141
Encoding,1.376729
Encoding,1.453932
Encoding,-1.267184
Encoding,2.072578
Encoding,4.483277
Encoding,0.146256
Encoding,0.621913
Encoding,2.028131
Encoding,0.474679
Encoding,2.17182
Encoding,-0.148175
Encoding,2.164107
Encoding,-0.695479
Encoding,3.537953
Encoding,0.320873
Encoding,2.856999
Encoding,1.609743
Encoding,3.162689
Encoding,0.251489
Encoding,1.231862
Encoding,2.162875
Encoding,2.367052
Encoding,-0.476501
Encoding,4.361161
Encoding,1.723575
Encoding,1.168375
Encoding,-0.59932
Encoding,0.920261
Encoding,-0.061759
Encoding,3.516968
Encoding,3.808607
Encoding,1.044923
Encoding,0.999422
Encoding,0.253614
Encoding,-0.446976
Encoding,-0.043875
