svg_z_dec_within_z,pred_total,ci_lower,ci_upper
-0.7246533254090755,0.5889336379079871,0.5509514688923436,0.6269158069236307
-0.6923865588560028,0.5892655908966672,0.5519041137428736,0.6266270680504608
-0.6601197923029298,0.5895975438853471,0.5528435812419036,0.6263515065287907
-0.6278530257498571,0.5899294968740272,0.5537692072211562,0.6260897865268982
-0.5955862591967842,0.5902614498627072,0.5546802988348795,0.625842600890535
-0.5633194926437115,0.5905934028513872,0.5555761349389368,0.6256106707638376
-0.5310527260906386,0.5909253558400672,0.5564559668326995,0.625394744847435
-0.4987859595375659,0.5912573088287473,0.5573190194208848,0.6251955982366098
-0.46651919298449296,0.5915892618174272,0.5581644928545144,0.62501403078034
-0.43425242643142026,0.5919212148061073,0.5589915647105165,0.624850864901698
-0.40198565987834756,0.5922531677947873,0.559799392767625,0.6247069428219496
-0.36971889332527463,0.5925851207834673,0.5605871184315865,0.624583123135348
-0.33745212677220193,0.5929170737721473,0.5613538708546686,0.624480276689626
-0.305185360219129,0.5932490267608274,0.5620987717825677,0.624399281739087
-0.2729185936660563,0.5935809797495073,0.5628209411456154,0.6243410183533992
-0.24065182711298339,0.5939129327381873,0.5635195033904332,0.6243063620859415
-0.20838506055991068,0.5942448857268674,0.5641935945229506,0.6242961769307842
-0.17611829400683798,0.5945768387155473,0.5648423698043668,0.6243113076267279
-0.14385152745376506,0.5949087917042274,0.5654650120090354,0.6243525713994194
-0.11158476090069236,0.5952407446929074,0.5660607401187181,0.6244207492670968
-0.07931799434761944,0.5955726976815874,0.5666288182929826,0.6245165770701921
-0.047051227794546735,0.5959046506702674,0.5671685649229676,0.6246407364175672
-0.014784461241473812,0.5962366036589475,0.5676793615478488,0.6247938457700462
0.01748230531159889,0.5965685566476274,0.5681606613927985,0.6249764519024563
0.04974907186467159,0.5969005096363075,0.5686119972765452,0.6251890219960697
0.08201583841774451,0.5972324626249875,0.5690329886378863,0.6254319366120887
0.11428260497081721,0.5975644156136675,0.5694233474450345,0.6257054837823004
0.14654937152389014,0.5978963686023475,0.5697828827797788,0.6260098544249162
0.17881613807696284,0.5982283215910276,0.5701115039293224,0.6263451392527327
0.21108290463003576,0.5985602745797075,0.5704092218702784,0.6267113272891366
0.24334967118310868,0.5988922275683876,0.5706761490885879,0.6271083060481872
0.27561643773618116,0.5992241805570676,0.570912497742211,0.6275358633719242
0.3078832042892541,0.5995561335457475,0.5711185762360637,0.6279936908554314
0.340149970842327,0.5998880865344276,0.5712947843366096,0.6284813887322456
0.3724167373953995,0.6002200395231077,0.5714416070030484,0.628998472043167
0.4046835039484724,0.6005519925117876,0.5715596071502974,0.6295443778732778
0.43695027050154533,0.6008839455004676,0.5716494175841772,0.6301184734167581
0.46921703705461826,0.6012158984891477,0.571711732360798,0.6307200646174974
0.5014838036076907,0.6015478514778276,0.5717472978206918,0.6313484051349635
0.5337505701607637,0.6018798044665077,0.5717569035352216,0.6320027053977938
0.5660173367138366,0.6022117574551877,0.5717413733804505,0.632682141529925
0.5982841032669091,0.6025437104438677,0.5717015569245428,0.6333858639631925
0.630550869819982,0.6028756634325477,0.5716383212815439,0.6341130055835515
0.6628176363730549,0.6032076164212278,0.571552543549572,0.6348626892928836
0.6950844029261278,0.6035395694099077,0.5714451039172022,0.6356340349026133
0.7273511694792003,0.6038715223985878,0.5713168794898293,0.6364261653073462
0.7596179360322732,0.6042034753872678,0.5711687388592923,0.6372382119152433
0.7918847025853462,0.6045354283759478,0.5710015374157501,0.6380693193361454
0.8241514691384191,0.6048673813646278,0.5708161133810451,0.6389186493482105
0.8564182356914916,0.6051993343533079,0.5706132845275359,0.6397853841790798
0.8886850022445645,0.6055312873419878,0.5703938455353698,0.6406687291486058
0.9209517687976374,0.6058632403306679,0.5701585659339191,0.6415679147274166
0.9532185353507099,0.6061951933193479,0.5699081885691086,0.6424821980695872
0.9854853019037828,0.6065271463080278,0.5696434285370167,0.643410864079039
1.0177520684568557,0.6068590992967079,0.5693649725248919,0.6443532260685239
