SubjectID,StimID,TrialID,QuestionNumber,q_accuracy,svg_z_inter_dec,svg_z_all_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,PresentOrder,svg_z_inter_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-2-1,2356125,Encode-Decode_Experiment-2-1_2356125,1.0,1.0,-0.435353,-0.005846,14,1.0,0.327246,False,4.0,1.0,-0.38219865523945523,0.4152468130418307,0.41061976358289315,1.1876648319486203
Encode-Decode_Experiment-2-1,2356125,Encode-Decode_Experiment-2-1_2356125,2.0,1.0,-0.435353,-0.005846,14,1.0,0.327246,False,4.0,2.0,-0.38219865523945523,0.4152468130418307,0.41061976358289315,1.1876648319486203
Encode-Decode_Experiment-2-1,2345035,Encode-Decode_Experiment-2-1_2345035,1.0,0.0,,,6,1.0,0.232226,False,1.0,1.0,,-1.8626785613590684,0.41061976358289315,0.4533419567863129
Encode-Decode_Experiment-2-1,2345035,Encode-Decode_Experiment-2-1_2345035,2.0,1.0,,,6,1.0,0.232226,False,1.0,2.0,,-1.8626785613590684,0.41061976358289315,0.4533419567863129
Encode-Decode_Experiment-2-1,2349475,Encode-Decode_Experiment-2-1_2349475,1.0,0.0,,,6,1.0,0.07673,False,2.0,2.0,,-1.8626785613590684,0.41061976358289315,-0.7483447386066375
Encode-Decode_Experiment-2-1,2349475,Encode-Decode_Experiment-2-1_2349475,2.0,1.0,,,6,1.0,0.07673,False,2.0,1.0,,-1.8626785613590684,0.41061976358289315,-0.7483447386066375
Encode-Decode_Experiment-2-1,2379478,Encode-Decode_Experiment-2-1_2379478,1.0,1.0,1.934952,0.732867,11,0.8182,0.596405,False,3.0,1.0,0.8620167560028408,-0.4389752023585064,-2.481571614696614,3.2677491379453736
Encode-Decode_Experiment-2-1,2379478,Encode-Decode_Experiment-2-1_2379478,2.0,1.0,1.934952,0.732867,11,0.8182,0.596405,False,3.0,2.0,0.8620167560028408,-0.4389752023585064,-2.481571614696614,3.2677491379453736
Encode-Decode_Experiment-2-1,2362704,Encode-Decode_Experiment-2-1_2362704,1.0,1.0,,-0.398628,9,1.0,0.277814,False,2.0,2.0,,-1.0084565459587311,0.41061976358289315,0.8056500101740132
Encode-Decode_Experiment-2-1,2362704,Encode-Decode_Experiment-2-1_2362704,2.0,1.0,,-0.398628,9,1.0,0.277814,False,2.0,1.0,,-1.0084565459587311,0.41061976358289315,0.8056500101740132
