SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,svg_z_all_enc_z,lcs_enc_dec_z,n_fixations_enc_z,aoi_prop_enc_z,mean_salience_enc_z
Encode-Decode_Experiment-1-1,2344622,-0.001997,-1.048945,24,0.7917,0.254556,False,,,18,1.0,0.166048,True,2.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,41.0,-0.9822616099482895,1.4908114562418715,-2.449748398039606,-1.442591096470344,0.6744093492379312
Encode-Decode_Experiment-1-1,2411268,2.790374,3.413571,32,0.9688,0.234453,False,1.786146,2.46011,20,1.0,0.08537,False,3.0,0.5,0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,54.0,0.8941485692051467,-0.37473056330316556,-0.6609866586710499,0.6104328727759933,0.4306960372132667
Encode-Decode_Experiment-1-1,2345035,-0.576252,-0.268452,41,0.878,0.23046,False,-0.993283,-0.782585,17,0.8824,0.196564,False,7.0,0.714286,0.619048,1.0,3.0,0.0,0.0,1.0,1.0,0.0,59.0,-1.3681479865901314,0.42478851109729,1.3513702981185758,-0.4421621379951381,0.382287975982879
Encode-Decode_Experiment-1-1,2370664,3.111753,5.606241,40,1.0,0.147073,False,,,17,0.9412,0.159114,False,2.0,0.666667,1.0,3.0,6.0,0.0,0.0,3.0,1.0,0.0,97.0,1.1101079911323022,0.24711802023985988,1.1277750806975062,0.9721175020277478,-0.6286318842270742
Encode-Decode_Experiment-1-1,2367132,2.52208,2.350202,37,0.973,0.103802,False,0.285135,0.692949,10,1.0,0.060864,False,3.0,0.666667,0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,92.0,0.7138610670767432,0.24711802023985988,0.45698942843429763,0.6591211882521909,-1.153216211174259
Encode-Decode_Experiment-2-1,2379478,2.924088,2.416604,42,0.9286,0.399197,False,-0.058045,0.39677,17,1.0,0.42265,False,6.0,0.666667,0.733333,,,,,,,,49.0,0.9840013540590656,0.24711802023985988,1.5749655155396451,0.1444161389323865,2.42792559878076
Encode-Decode_Experiment-2-1,2411268,-0.087115,0.222638,39,0.7692,0.231935,False,,,16,0.0625,0.018178,True,1.0,1.0,,1.0,6.0,0.0,0.0,1.0,1.0,0.0,63.0,-1.0394589815114457,1.4908114562418715,0.9041798632764366,-1.7034213579499742,0.4001697416515046
Encode-Decode_Experiment-2-1,2409918,2.84465,3.388721,37,0.8649,0.206175,False,1.078822,1.176836,13,1.0,0.125211,False,4.0,0.75,0.666667,1.0,4.0,0.0,0.0,1.0,1.0,0.0,94.0,0.9306208140765239,0.558040446469353,0.45698942843429763,-0.5940233124566119,0.08787531207605037
Encode-Decode_Experiment-2-1,2370664,2.940658,3.121904,43,1.0,0.127741,False,,,11,0.9091,0.103671,False,1.0,0.5,,3.0,10.0,0.0,0.0,3.0,1.0,0.0,154.0,0.9951360194271607,-0.37473056330316556,1.7985607329607147,0.9721175020277478,-0.8629981851802063
Encode-Decode_Experiment-2-1,2356991,2.276321,2.375767,37,0.9189,0.182026,False,,,12,1.0,0.038629,False,2.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,82.0,0.5487165754534706,1.4908114562418715,0.45698942843429763,0.03196931509450211,-0.20488859241997617
Encode-Decode_Experiment-2-1,2412687,-0.036055,1.127482,35,0.8571,0.161694,False,-0.801581,,15,0.8667,0.066356,False,4.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,110.0,-1.0051478159293743,1.4908114562418715,0.009798993592158614,-0.6844444697695509,-0.4513781243348881
Encode-Decode_Experiment-2-1,150472,1.585924,2.295674,37,0.9459,0.094441,False,-0.150394,,12,1.0,0.065708,False,4.0,0.75,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,0.08478540067153989,0.558040446469353,0.45698942843429763,0.3449656288700578,-1.2667017762074821
Encode-Decode_Experiment-2-1,2397102,2.270703,1.175764,42,0.9286,0.129092,False,0.576662,1.737809,19,1.0,0.062052,False,1.0,0.166667,,4.0,8.0,1.0,1.0,5.0,1.0,0.0,143.0,0.5449414064710957,-1.6184239993051772,1.5749655155396451,0.1444161389323865,-0.8466197001508413
Encode-Decode_Experiment-2-1,2362704,0.043275,-0.130035,34,0.9706,0.139211,False,-1.0083,,20,1.0,0.153456,False,3.0,0.333333,0.333333,3.0,3.0,0.0,0.0,3.0,1.0,0.0,68.0,-0.9518398495050553,-0.9965791468461911,-0.2137962238289109,0.6312992936943641,-0.7239447260485891
Encode-Decode_Experiment-2-1,2385550,3.804287,,42,0.9524,0.219109,False,0.647146,0.137786,19,0.7895,0.191269,False,5.0,0.5,0.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,107.0,1.5754751815986996,-0.37473056330316556,1.5749655155396451,0.42031659329750737,0.2446771813357136
Encode-Decode_Experiment-2-1,2385851,-1.785738,-1.513972,35,0.9429,0.221903,False,0.684794,0.608248,19,0.9474,0.220397,False,5.0,0.428571,0.2,2.0,5.0,0.0,0.0,2.0,1.0,0.0,41.0,-2.180895233264579,-0.6412381651313306,0.009798993592158614,0.3101882606727737,0.27854948864292695
Encode-Decode_Experiment-2-1,2344622,-0.171378,-0.679974,36,0.8611,0.211338,False,1.729974,,17,1.0,0.294127,False,0.0,0.0,,2.0,4.0,2.0,1.0,4.0,1.0,0.0,93.0,-1.0960818124053369,-2.2402725828482026,0.23339421101322813,-0.6380746455065054,0.1504675535317208
Encode-Decode_Experiment-2-1,2367132,1.799592,1.909472,38,0.9737,0.123725,False,,,11,1.0,0.00241,True,0.0,0.0,,3.0,5.0,0.0,0.0,3.0,1.0,0.0,78.0,0.2283654658417328,-2.2402725828482026,0.6805846458553672,0.6672359074982241,-0.9116850807227149
Encode-Decode_Experiment-2-1,2350974,1.277022,1.336451,31,0.5161,0.2135,False,-2.711135,-2.827286,14,1.0,0.161599,False,2.0,0.333333,-1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,48.0,-0.1227897593486918,-0.9965791468461911,-0.8845818760921195,-4.637471988194174,0.17667797887108924
Encode-Decode_Experiment-2-1,2347025,0.4934,0.50741,38,1.0,0.10076,False,0.470615,-0.704317,19,1.0,0.119685,False,5.0,0.6,0.2,2.0,5.0,0.0,0.0,2.0,1.0,0.0,108.0,-0.6493660264022366,-0.0016221593941582384,0.6805846458553672,0.9721175020277478,-1.1900950797599938
Encode-Decode_Experiment-2-1,2360001,3.555574,,31,1.0,0.319628,False,,,19,1.0,0.139017,False,2.0,0.666667,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,84.0,1.4083456687625515,0.24711802023985988,-0.8845818760921195,0.9721175020277478,1.4632922343828831
Encode-Decode_Experiment-2-1,2356125,-0.392903,0.195886,37,0.8108,0.323423,False,,,14,1.0,0.074841,True,1.0,1.0,,4.0,9.0,0.0,1.0,4.0,1.0,0.0,173.0,-1.244941603936249,1.4908114562418715,0.45698942843429763,-1.2211751856143018,1.5092998958828383
Encode-Decode_Experiment-2-1,2408717,-0.372013,-0.665182,36,0.75,0.218882,False,,,9,1.0,0.041422,False,1.0,0.333333,,3.0,4.0,0.0,0.0,3.0,1.0,0.0,106.0,-1.2309039962392363,-0.9965791468461911,0.23339421101322813,-1.9259965144125923,0.24192520790738947
Encode-Decode_Experiment-2-1,2349475,0.940489,1.767092,43,0.8605,0.093206,False,-0.565369,-0.230339,17,0.9412,0.159614,False,5.0,0.428571,0.4,,,,,,,,125.0,-0.3489323266583521,-0.6412381651313306,1.7985607329607147,-0.6450301191459614,-1.2816739664452805
