SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,lcs_enc_dec_z,tau_enc_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-2-1,2347025,0.4934,0.50741,38,1.0,0.10076,False,0.470615,-0.704317,19,1.0,0.119685,False,5.0,0.6,0.2,2.0,5.0,0.0,0.0,2.0,1.0,0.0,108.0,0.09265882009024706,-0.1391144685850657,1.1081340189440494,0.610208466671487,-0.25642538951455995
Encode-Decode_Experiment-2-1,2360001,3.555574,,31,1.0,0.319628,False,,,19,1.0,0.139017,False,2.0,0.666667,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,84.0,0.3829845513822551,0.9818368740346106,1.1081340189440494,0.610208466671487,-0.04034503304096206
Encode-Decode_Experiment-2-1,2349475,0.940489,1.767092,43,0.8605,0.093206,False,-0.565369,-0.230339,17,0.9412,0.159614,False,5.0,0.428571,0.4,,,,,,,,125.0,-0.6538911940045468,0.1411233670698534,0.692583761840031,0.013924629866148577,0.18987465981475368
Encode-Decode_Experiment-2-1,2345035,-0.664166,-0.779499,40,0.875,0.228074,False,-0.394948,-0.401342,13,1.0,0.243879,False,3.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,81.0,1.8346044981139045,0.9818368740346106,-0.13851675236800604,0.610208466671487,1.1317333003200158
Encode-Decode_Experiment-2-1,2371471,-0.504208,0.023739,32,1.0,0.48056,False,,,14,1.0,0.139538,False,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8346044981139045,0.9818368740346106,0.06925837618400321,0.610208466671487,-0.034521638372912035
Encode-Decode_Experiment-2-1,2347400,2.544912,2.734828,37,0.9459,0.22687,False,1.434294,-0.235817,15,1.0,0.118355,False,4.0,0.666667,1.0,5.0,5.0,1.0,0.0,6.0,1.0,0.0,134.0,0.3829845513822551,0.9818368740346106,0.27703350473601246,0.610208466671487,-0.2712912530625573
Encode-Decode_Experiment-2-1,2383555,0.002267,0.725924,37,0.8919,0.221859,False,0.436293,0.130724,15,0.9333,0.124215,False,5.0,0.5,0.2,,,,,,,,132.0,-0.34282759941566715,-0.1391144685850657,0.27703350473601246,-0.0661883346025961,-0.2057920347232606
Encode-Decode_Experiment-2-1,2348899,3.87696,3.694145,37,1.0,0.193031,False,-0.606221,-0.293558,15,0.8667,0.134571,False,2.0,0.5,1.0,3.0,6.0,0.0,0.0,3.0,1.0,0.0,112.0,-0.34282759941566715,0.9818368740346106,0.27703350473601246,-0.7415710477188471,-0.09003949118712477
Encode-Decode_Experiment-2-1,2374670,1.917099,2.658246,33,0.8485,0.270729,False,-1.029869,-0.936618,12,1.0,0.305899,False,3.0,0.75,1.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,83.0,0.7458884493491187,0.9818368740346106,-0.3462918809200153,0.610208466671487,1.8249519899792612
Encode-Decode_Experiment-2-1,2386442,3.055224,4.130084,43,1.0,0.121236,False,0.703086,1.949695,14,0.9286,0.044563,False,2.0,0.5,1.0,4.0,6.0,0.0,0.0,4.0,1.0,0.0,193.0,-0.34282759941566715,0.9818368740346106,0.06925837618400321,-0.11385047802071029,-1.0960896011331003
Encode-Decode_Experiment-2-1,2394020,2.381256,2.262446,37,0.7297,0.351042,False,,,13,0.8462,0.089789,False,2.0,0.666667,1.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,63.0,0.3829845513822551,0.9818368740346106,-0.13851675236800604,-0.9494591200744505,-0.5905831764551085
Encode-Decode_Experiment-3-1,2348899,3.36501,3.31332,33,0.9697,0.196117,False,0.480829,,6,1.0,0.089038,False,3.0,0.75,1.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,50.0,0.7458884493491187,0.9818368740346106,-1.5929426522320709,0.610208466671487,-0.5989773595562707
Encode-Decode_Experiment-3-1,2385550,2.299355,-1.05642,34,0.9706,0.158456,False,1.878046,1.043476,10,1.0,0.095316,False,2.0,0.5,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,75.0,-0.34282759941566715,0.9818368740346106,-0.7618421380240338,0.610208466671487,-0.5288060126733178
Encode-Decode_Experiment-3-1,2349475,-0.27773,0.217797,37,0.8649,0.065952,False,1.057191,1.399735,14,1.0,0.083703,False,4.0,0.4,0.0,,,,,,,,47.0,-0.7783140189215814,-0.4193523042399848,0.06925837618400321,0.610208466671487,-0.6586084738634633
Encode-Decode_Experiment-3-1,2350974,1.53063,1.33825,37,0.8108,0.228493,False,1.906416,-0.098148,18,0.8889,0.184981,False,4.0,0.5,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,42.0,-0.34282759941566715,-0.4193523042399848,0.9003588903920402,-0.5164434766800967,0.47341026930501634
Encode-Decode_Experiment-3-1,2371471,1.614844,1.496415,32,1.0,0.351353,False,0.313723,-0.77121,15,0.9333,0.188777,False,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,-0.34282759941566715,-0.4193523042399848,0.27703350473601246,-0.0661883346025961,0.5158394557923832
Encode-Decode_Experiment-3-1,2369373,0.358287,1.216223,40,0.85,0.249228,False,1.774127,,11,0.9091,0.169613,False,2.0,0.166667,-1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,22.0,-1.7944475461473166,-1.8205414825145803,-0.5540670094720246,-0.3115976687979906,0.30163689260905885
Encode-Decode_Experiment-3-1,150472,1.414777,-1.126348,36,1.0,0.095156,False,1.028901,1.152083,7,1.0,0.052404,False,2.0,0.25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,-1.4315436481804529,-1.8205414825145803,-1.3851675236800616,0.610208466671487,-1.0084480702459968
Encode-Decode_Experiment-3-1,2385851,1.790687,1.323363,38,0.7368,0.288481,False,,,10,1.0,0.229994,False,2.0,0.25,-1.0,3.0,6.0,0.0,0.0,3.0,1.0,0.0,73.0,-1.4315436481804529,-1.8205414825145803,-0.7618421380240338,0.610208466671487,0.9765359203471259
Encode-Decode_Experiment-3-1,2379478,2.128851,-1.384199,38,0.9211,0.400744,False,1.239704,0.613962,5,1.0,0.249157,False,2.0,0.666667,1.0,,,,,,,,64.0,0.3829845513822551,0.9818368740346106,-1.8007177807840802,0.610208466671487,1.1907273061894368
Encode-Decode_Experiment-3-1,2386442,0.465907,-1.171591,47,0.9787,0.088028,False,,0.473134,8,0.75,0.12274,False,2.0,0.666667,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,31.0,0.3829845513822551,0.9818368740346106,-1.1773923951280523,-1.925011927909035,-0.22227861271822014
