SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_accuracy,enc_rt_ms,enc_response,enc_correct_key,enc_trial_index,q2_accuracy,q2_rt_ms,q2_confidence,q2_present_order,q1_accuracy,q1_rt_ms,q1_confidence,q1_present_order,dec_total_correct,dec_trial_index
Encode-Decode_Experiment-1-1,2412687,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,2,0,0,False,1.0,2.0,1.0,1.0,2.0,10,10,1.0,0.03754,,,,,,1.0,12087.0,4.0,1.0,1.0,2412.0,4.0,2.0,2.0,18.0
Encode-Decode_Experiment-1-1,2369373,decoding,-1.085162,0.4,0.6558,0.235725,,0.0,0.0,0.0,5,2,0,False,0.666667,2.0,0.333333,1.0,3.0,11,11,1.0,0.133884,,,,,,0.0,4787.0,1.0,1.0,0.0,14437.0,3.0,2.0,0.0,19.0
Encode-Decode_Experiment-1-1,2347025,decoding,,1.0,1.0,0.0,,1.0,1.0,0.0,1,1,1,True,0.5,1.0,-1.0,1.0,2.0,12,12,1.0,0.108585,,,,,,1.0,3580.0,4.0,1.0,1.0,3050.0,4.0,2.0,2.0,20.0
Encode-Decode_Experiment-1-1,2370664,decoding,,1.0,1.0,0.0,,0.0,0.0,0.0,3,3,0,False,0.666667,2.0,1.0,1.0,2.0,13,13,1.0,0.113094,,,,,,0.0,3334.0,2.0,2.0,0.0,5174.0,1.0,1.0,0.0,21.0
Encode-Decode_Experiment-1-1,2410309,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,2,0,0,False,1.0,2.0,1.0,1.0,2.0,21,21,1.0,0.183814,,,,,,1.0,3168.0,4.0,1.0,1.0,3822.0,4.0,2.0,2.0,22.0
Encode-Decode_Experiment-1-1,2394020,decoding,0.354202,0.75,0.65575,0.266091,-0.350771,0.25,0.345,0.270832,4,3,1,False,1.0,3.0,1.0,0.333333,3.0,9,8,0.8889,0.192867,,,,,,1.0,3002.0,4.0,2.0,1.0,6284.0,4.0,1.0,2.0,23.0
Encode-Decode_Experiment-1-1,2348899,decoding,2.369161,0.769231,0.392538,0.158998,3.938627,0.538462,0.125,0.104976,13,10,7,False,0.5,3.0,1.0,0.333333,3.0,17,17,1.0,0.111402,,,,,,1.0,5598.0,4.0,1.0,1.0,3065.0,4.0,2.0,2.0,24.0
Encode-Decode_Experiment-1-1,2362704,decoding,-0.589359,0.0,0.034917,0.059245,-0.634966,0.0,0.036917,0.05814,12,0,0,False,0.25,2.0,-0.333333,1.0,3.0,17,17,1.0,0.121488,,,,,,1.0,3153.0,4.0,2.0,1.0,2183.0,4.0,1.0,2.0,25.0
Encode-Decode_Experiment-1-1,2409918,decoding,-0.609254,0.5,0.6635,0.268361,-0.306485,0.25,0.33075,0.263471,4,2,1,False,0.333333,1.0,-1.0,1.0,2.0,13,13,1.0,0.090043,,,,,,1.0,2724.0,4.0,1.0,1.0,7427.0,3.0,2.0,2.0,26.0
Encode-Decode_Experiment-1-1,2408717,decoding,-1.02598,0.285714,0.498714,0.207606,-1.088019,0.0,0.178,0.1636,7,2,0,False,0.25,1.0,,,1.0,13,13,1.0,0.094577,,,,,,1.0,3669.0,4.0,2.0,0.0,3251.0,4.0,1.0,1.0,27.0
Encode-Decode_Experiment-1-1,2385851,decoding,-0.859908,0.0,0.09975,0.116001,,0.0,0.0,0.0,8,0,0,False,0.6,3.0,1.0,0.333333,3.0,10,10,1.0,0.154989,,,,,,0.0,7410.0,2.0,1.0,1.0,2839.0,4.0,2.0,1.0,28.0
Encode-Decode_Experiment-1-1,2379478,decoding,-1.042553,0.333333,0.66,0.313333,0.017059,0.333333,0.328,0.312649,3,1,1,False,1.0,3.0,1.0,0.333333,3.0,9,9,1.0,0.730578,,,,,,1.0,3829.0,1.0,2.0,0.0,7423.0,1.0,1.0,1.0,29.0
Encode-Decode_Experiment-1-1,2345035,decoding,,0.0,0.0,0.0,,0.0,0.0,0.0,3,0,0,False,0.5,2.0,0.333333,1.0,3.0,9,9,1.0,0.210994,,,,,,1.0,7172.0,4.0,1.0,1.0,3050.0,4.0,2.0,2.0,30.0
Encode-Decode_Experiment-2-1,2369373,encoding,1.8329,1.0,0.657875,0.186658,,0.0,0.0,0.0,8,8,0,False,,,,,,12,12,1.0,0.639553,0.0,15237.0,3.0,2.0,1.0,,,,,,,,,,
