SubjectID,StimID,kappa,pct_agreement,n,n_agree,tp,tn,fp,fn
Encode-Decode_Experiment-4-1,2386442,0.9304812834224598,0.9743589743589743,39,38,9,29,1,0
Encode-Decode_Experiment-4-1,2387122,0.8982683982683983,0.9574468085106383,47,45,13,32,1,1
Encode-Decode_Experiment-4-1,2394020,1.0,1.0,32,32,11,21,0,0
Encode-Decode_Experiment-4-1,2397102,0.9543568464730291,0.9772727272727273,44,43,20,23,0,1
Encode-Decode_Experiment-4-1,2408717,1.0,1.0,36,36,9,27,0,0
Encode-Decode_Experiment-4-1,2409918,1.0,1.0,34,34,11,23,0,0
Encode-Decode_Experiment-4-1,2410309,,1.0,41,41,0,41,0,0
Encode-Decode_Experiment-4-1,2411268,1.0,1.0,40,40,13,27,0,0
Encode-Decode_Experiment-4-1,2412687,1.0,1.0,37,37,11,26,0,0
Encode-Decode_Experiment-5-1,2344622,0.9204545454545455,0.9642857142857143,28,27,9,18,0,1
Encode-Decode_Experiment-5-1,2349475,1.0,1.0,45,45,11,34,0,0
Encode-Decode_Experiment-5-1,2350974,1.0,1.0,38,38,11,27,0,0
Encode-Decode_Experiment-5-1,2379478,0.9180327868852458,0.96,25,24,10,14,0,1
Encode-Decode_Experiment-5-1,2385550,1.0,1.0,34,34,7,27,0,0
Encode-Decode_Experiment-5-1,2385851,1.0,1.0,39,39,13,26,0,0
Encode-Decode_Experiment-5-1,2408717,0.9328358208955223,0.9722222222222222,36,35,10,25,0,1
Encode-Decode_Experiment-5-1,2411268,1.0,1.0,40,40,11,29,0,0
Encode-Decode_Experiment-6-1,2344622,0.9156626506024097,0.9642857142857143,28,27,8,19,1,0
Encode-Decode_Experiment-6-1,2349475,1.0,1.0,45,45,9,36,0,0
Encode-Decode_Experiment-6-1,2350974,1.0,1.0,38,38,9,29,0,0
Encode-Decode_Experiment-6-1,2379478,1.0,1.0,25,25,13,12,0,0
Encode-Decode_Experiment-6-1,2385550,0.875912408759124,0.9411764705882353,34,32,12,20,0,2
Encode-Decode_Experiment-6-1,2385851,1.0,1.0,39,39,9,30,0,0
Encode-Decode_Experiment-6-1,2408717,1.0,1.0,36,36,10,26,0,0
Encode-Decode_Experiment-6-1,2411268,1.0,1.0,40,40,11,29,0,0
Encode-Decode_Experiment-7-1,2344622,1.0,1.0,28,28,10,18,0,0
Encode-Decode_Experiment-7-1,2349475,1.0,1.0,45,45,10,35,0,0
Encode-Decode_Experiment-7-1,2350974,,1.0,38,38,0,38,0,0
Encode-Decode_Experiment-7-1,2379478,,1.0,25,25,0,25,0,0
Encode-Decode_Experiment-7-1,2385550,0.8716981132075472,0.9411764705882353,34,32,11,21,0,2
Encode-Decode_Experiment-7-1,2385851,0.9304812834224598,0.9743589743589743,39,38,9,29,0,1
Encode-Decode_Experiment-7-1,2408717,1.0,1.0,36,36,8,28,0,0
Encode-Decode_Experiment-7-1,2411268,0.9459459459459459,0.975,40,39,14,25,0,1
Encode-Decode_Experiment-8-1,2344622,1.0,1.0,28,28,8,20,0,0
Encode-Decode_Experiment-8-1,2349475,0.9333333333333332,0.9777777777777777,45,44,9,35,1,0
Encode-Decode_Experiment-8-1,2350974,1.0,1.0,38,38,12,26,0,0
Encode-Decode_Experiment-8-1,2379478,1.0,1.0,25,25,9,16,0,0
Encode-Decode_Experiment-8-1,2385550,1.0,1.0,34,34,8,26,0,0
Encode-Decode_Experiment-8-1,2385851,1.0,1.0,39,39,8,31,0,0
Encode-Decode_Experiment-8-1,2408717,1.0,1.0,36,36,11,25,0,0
Encode-Decode_Experiment-8-1,2411268,1.0,1.0,40,40,3,37,0,0
Encode-Decode_Experiment-9-1,2344622,,1.0,28,28,0,28,0,0
Encode-Decode_Experiment-9-1,2385851,0.9248554913294798,0.9743589743589743,39,38,8,30,1,0
Encode-Decode_Experiment-9-1,2408717,1.0,1.0,36,36,15,21,0,0
Encode-Decode_Experiment-9-1,2411268,1.0,1.0,40,40,14,26,0,0
